image_name,tags
train_0,not_cloudy
train_1,not_cloudy
train_2,not_cloudy
train_3,not_cloudy
train_4,not_cloudy
train_5,not_cloudy
train_6,not_cloudy
train_7,not_cloudy
train_8,not_cloudy
train_9,not_cloudy
train_10,not_cloudy
train_11,not_cloudy
train_12,cloudy
train_13,not_cloudy
train_14,cloudy
train_15,not_cloudy
train_16,not_cloudy
train_17,not_cloudy
train_18,not_cloudy
train_19,not_cloudy
train_20,not_cloudy
train_21,not_cloudy
train_22,not_cloudy
train_23,not_cloudy
train_24,not_cloudy
train_25,not_cloudy
train_26,cloudy
train_27,not_cloudy
train_28,not_cloudy
train_29,not_cloudy
train_30,not_cloudy
train_31,not_cloudy
train_32,not_cloudy
train_33,not_cloudy
train_34,not_cloudy
train_35,not_cloudy
train_36,not_cloudy
train_37,not_cloudy
train_38,not_cloudy
train_39,not_cloudy
train_40,not_cloudy
train_41,not_cloudy
train_42,not_cloudy
train_43,not_cloudy
train_44,not_cloudy
train_45,not_cloudy
train_46,not_cloudy
train_47,not_cloudy
train_48,not_cloudy
train_49,not_cloudy
train_50,cloudy
train_51,not_cloudy
train_52,not_cloudy
train_53,not_cloudy
train_54,not_cloudy
train_55,not_cloudy
train_56,not_cloudy
train_57,not_cloudy
train_58,not_cloudy
train_59,not_cloudy
train_60,not_cloudy
train_61,not_cloudy
train_62,not_cloudy
train_63,not_cloudy
train_64,not_cloudy
train_65,not_cloudy
train_66,not_cloudy
train_67,not_cloudy
train_68,cloudy
train_69,not_cloudy
train_70,not_cloudy
train_71,not_cloudy
train_72,cloudy
train_73,not_cloudy
train_74,not_cloudy
train_75,not_cloudy
train_76,not_cloudy
train_77,cloudy
train_78,not_cloudy
train_79,not_cloudy
train_80,not_cloudy
train_81,not_cloudy
train_82,not_cloudy
train_83,not_cloudy
train_84,not_cloudy
train_85,not_cloudy
train_86,not_cloudy
train_87,cloudy
train_88,not_cloudy
train_89,not_cloudy
train_90,not_cloudy
train_91,not_cloudy
train_92,not_cloudy
train_93,not_cloudy
train_94,not_cloudy
train_95,not_cloudy
train_96,not_cloudy
train_97,cloudy
train_98,not_cloudy
train_99,not_cloudy
train_100,not_cloudy
train_101,cloudy
train_102,not_cloudy
train_103,not_cloudy
train_104,not_cloudy
train_105,not_cloudy
train_106,not_cloudy
train_107,not_cloudy
train_108,cloudy
train_109,not_cloudy
train_110,not_cloudy
train_111,cloudy
train_112,not_cloudy
train_113,not_cloudy
train_114,not_cloudy
train_115,not_cloudy
train_116,not_cloudy
train_117,not_cloudy
train_118,cloudy
train_119,not_cloudy
train_120,not_cloudy
train_121,not_cloudy
train_122,not_cloudy
train_123,not_cloudy
train_124,not_cloudy
train_125,not_cloudy
train_126,not_cloudy
train_127,not_cloudy
train_128,not_cloudy
train_129,not_cloudy
train_130,not_cloudy
train_131,not_cloudy
train_132,not_cloudy
train_133,not_cloudy
train_134,not_cloudy
train_135,not_cloudy
train_136,not_cloudy
train_137,not_cloudy
train_138,cloudy
train_139,not_cloudy
train_140,not_cloudy
train_141,not_cloudy
train_142,not_cloudy
train_143,not_cloudy
train_144,not_cloudy
train_145,not_cloudy
train_146,not_cloudy
train_147,not_cloudy
train_148,not_cloudy
train_149,not_cloudy
train_150,not_cloudy
train_151,not_cloudy
train_152,not_cloudy
train_153,not_cloudy
train_154,not_cloudy
train_155,not_cloudy
train_156,not_cloudy
train_157,not_cloudy
train_158,not_cloudy
train_159,not_cloudy
train_160,not_cloudy
train_161,not_cloudy
train_162,not_cloudy
train_163,not_cloudy
train_164,not_cloudy
train_165,not_cloudy
train_166,not_cloudy
train_167,not_cloudy
train_168,cloudy
train_169,not_cloudy
train_170,not_cloudy
train_171,not_cloudy
train_172,not_cloudy
train_173,not_cloudy
train_174,cloudy
train_175,not_cloudy
train_176,not_cloudy
train_177,not_cloudy
train_178,not_cloudy
train_179,cloudy
train_180,not_cloudy
train_181,not_cloudy
train_182,not_cloudy
train_183,not_cloudy
train_184,not_cloudy
