image_names,tags
stitch_0, agriculture clear primary water clear primary clear primary 
stitch_1,agriculture clear habitation primary road  agriculture clear cultivation primary water  
stitch_2,agriculture clear cultivation primary agriculture clear cultivation primary road agriculture clear primary slash_burn water clear primary water 
stitch_3, clear primary  clear primary 
stitch_4,clear primary partly_cloudy primary clear primary agriculture clear primary road 
stitch_5,agriculture clear primary water clear primary road water partly_cloudy primary agriculture clear primary road 
stitch_6,conventional_mine partly_cloudy primary clear primary  agriculture partly_cloudy primary water 
stitch_7,clear primary partly_cloudy primary clear primary water clear cultivation primary 
stitch_8,agriculture clear primary road agriculture cultivation partly_cloudy primary clear primary clear primary 
stitch_9,agriculture clear primary road partly_cloudy primary clear primary clear primary 
stitch_10,agriculture clear cultivation primary agriculture clear primary clear primary  
stitch_11,clear primary clear primary bare_ground clear habitation primary clear primary water 
stitch_12,clear primary water clear primary  clear primary 
stitch_13,agriculture clear habitation primary road water clear primary clear primary partly_cloudy primary road water 
stitch_14,clear primary water artisinal_mine bare_ground clear primary water agriculture clear primary road agriculture clear habitation primary road 
stitch_15, clear primary clear primary water agriculture clear primary road 
stitch_16,agriculture clear primary clear primary agriculture clear primary road clear habitation primary road 
stitch_17, clear primary blooming clear primary clear primary water 
stitch_18, clear primary agriculture partly_cloudy primary road agriculture clear primary road water 
stitch_19,partly_cloudy primary  clear primary clear cultivation primary 
stitch_20,agriculture partly_cloudy primary road clear primary blooming clear cultivation habitation primary slash_burn clear primary 
stitch_21,agriculture clear habitation primary road clear primary water clear primary  
stitch_22,partly_cloudy primary clear primary agriculture partly_cloudy primary road partly_cloudy primary 
stitch_23,agriculture clear habitation primary road clear primary agriculture clear habitation primary road clear primary 
stitch_24,clear primary  clear primary partly_cloudy primary 
stitch_25,bare_ground clear water  clear primary agriculture clear habitation primary road water 
stitch_26, clear primary clear primary partly_cloudy primary 
stitch_27, clear primary clear primary  
stitch_28,agriculture clear primary road agriculture clear primary clear primary water clear primary water 
stitch_29,agriculture clear primary road clear primary  agriculture clear primary road water 
